Supplier,Product,Contract Length,Compliance,SLA,Delivery Time (days),Base Price,Additional Fees,Total Price,Price Volatility,Delivery Risk,Contract Risk
"Carroll, Payne and George",Multi-Cloud Management,24 months,FedRAMP,99.9%,60,20938,4801,25739,0.1089662037161125,0.09553620763623716,0.3960243463023462
Ramos Ltd,Multi-Cloud Management,12 months,ISO 27001,99.9%,60,22926,4357,27283,0.07847746012773239,0.8991452884450164,0.726608021181275
Garner PLC,AI-Powered Security,36 months,ISO 27001,99.99%,90,23091,1293,24384,0.0025988957633545583,0.5749105882071062,0.2124147325232152
"Beck, Owens and Mitchell",Multi-Cloud Management,24 months,HIPAA,99.9%,60,36139,709,36848,0.08422868981597176,0.6369576180207995,0.9724845622761592
Hernandez PLC,Cloud Optimization,36 months,ISO 27001,99.99%,60,24650,3324,27974,0.06064686468296382,0.875329082637908,0.18935622768066507
"Patton, Atkins and Bush",AI-Powered Security,12 months,SOC2,99.95%,45,33568,1402,34970,0.08306648438988723,0.34664043196319283,0.2015141254241084
Young PLC,Multi-Cloud Management,12 months,FedRAMP,99.99%,30,24244,2664,26908,0.09182247324200854,0.5492512713778943,0.27302879567585936
"Schwartz, Allen and Carter",AI-Powered Security,36 months,SOC2,99.95%,60,27762,2472,30234,0.027976651875608965,0.17720937982123952,0.8730356015261367
Carlson-Williams,AI-Powered Security,36 months,FedRAMP,99.9%,45,18653,1659,20312,0.06468686867704154,0.6869560692277907,0.28928242444196295
Zimmerman-Boyd,AI-Powered Security,12 months,HIPAA,99.9%,45,27472,3539,31011,0.0166578666567164,0.7227620328396968,0.2675118573538666
Conley PLC,Multi-Cloud Management,24 months,SOC2,99.95%,30,21607,3453,25060,0.11834263448118502,0.7599971583309685,0.34899493530191095
Ramirez Group,AI-Powered Security,12 months,ISO 27001,99.9%,60,27047,2646,29693,0.03396656431558382,0.5792678295751993,0.5786950787176466
Fleming-Ray,AI-Powered Security,24 months,ISO 27001,99.9%,45,31349,1502,32851,0.03446410122832894,0.03560522651650877,0.8045325957431239
Wallace-Turner,AI-Powered Security,36 months,SOC2,99.9%,45,26585,2117,28702,0.11618254912105373,0.20908484215873002,0.4531567443050265
Tyler Group,Cloud Optimization,24 months,FedRAMP,99.9%,90,18600,1081,19681,0.06443236852810133,0.4874404737597884,0.13802760893789678
Gill LLC,Multi-Cloud Management,24 months,HIPAA,99.9%,90,34030,630,34660,0.03697819437590525,0.8030945758806354,0.6120496214481532
Dickerson LLC,AI-Powered Security,12 months,FedRAMP,99.9%,45,33333,537,33870,0.011273784800712727,0.34755832731160197,0.6147573887406486
Brown PLC,Cloud Optimization,24 months,HIPAA,99.9%,90,29834,3114,32948,0.07271670901356704,0.10577890689406699,0.2779220107693591
Smith-Norman,AI-Powered Security,24 months,HIPAA,99.9%,45,29026,4724,33750,0.10542762350940488,0.6140436069725635,0.5102626462206492
Cooley LLC,Multi-Cloud Management,12 months,HIPAA,99.9%,45,22581,4287,26868,0.12780162742325646,0.9131846040910838,0.847216167760015
Kramer Ltd,Cloud Optimization,12 months,ISO 27001,99.99%,90,24184,2128,26312,0.09879337634446415,0.9754382898535706,0.872146859858875
"King, Walsh and Horn",Multi-Cloud Management,12 months,SOC2,99.95%,60,34960,2554,37514,0.07635032753051073,0.9915977755299852,0.9832159866537458
Wolfe-Lawrence,Cloud Optimization,24 months,SOC2,99.95%,45,23313,3060,26373,0.08248625806907423,0.33096290435844833,0.16897215003789035
Stewart-Weaver,AI-Powered Security,24 months,SOC2,99.95%,90,20064,2915,22979,0.05032149158413046,0.08235299033675814,0.5502955231831296
"Clay, Mann and Riley",AI-Powered Security,12 months,FedRAMP,99.9%,30,24243,1868,26111,0.0709641807149062,0.9686138153459295,0.7718097762699956
Brown Inc,AI-Powered Security,12 months,SOC2,99.95%,90,34457,4346,38803,0.007945935906915124,0.8556026270540281,0.9272648702069862
May LLC,Cloud Optimization,36 months,FedRAMP,99.95%,30,15510,922,16432,0.03141297252004213,0.970076618910001,0.6678602222396804
Graham-Weeks,Cloud Optimization,12 months,HIPAA,99.9%,30,22837,1300,24137,0.08937112985849545,0.3145460976033576,0.5611101087684007
Smith-Cook,Multi-Cloud Management,36 months,FedRAMP,99.9%,90,25620,1986,27606,0.11450860176620395,0.09976300403813354,0.7768313694482886
Thompson Ltd,Cloud Optimization,12 months,ISO 27001,99.95%,60,20441,2340,22781,0.017887525152219984,0.9240344924302546,0.07767241327283858
"Tucker, Martin and Williamson",Cloud Optimization,36 months,FedRAMP,99.99%,60,24605,4097,28702,0.11112140470991162,0.6014711008812074,0.6716429214549452
Johnson and Sons,Multi-Cloud Management,36 months,ISO 27001,99.99%,60,29763,2023,31786,0.06267842797831971,0.2918231875739673,0.7651115104398498
Long Group,AI-Powered Security,24 months,SOC2,99.95%,45,29885,598,30483,0.1331852757492481,0.40419487960888134,0.6247328518956144
"Clarke, Rich and Stevens",AI-Powered Security,24 months,HIPAA,99.95%,60,26464,4454,30918,0.014350306564231901,0.38291640732977406,0.9442236744737867
Nunez-Fox,AI-Powered Security,36 months,HIPAA,99.99%,45,31182,2446,33628,0.07576750777060116,0.9586906539117553,0.17239614329845265
Fernandez and Sons,Cloud Optimization,24 months,FedRAMP,99.95%,45,27806,2441,30247,0.1285800501486801,0.37505438688553616,0.46199950736420814
Guerra-Williams,Cloud Optimization,36 months,HIPAA,99.9%,45,16028,4034,20062,0.1340981510635871,0.9660970640879095,0.8851049850905204
Chavez-Fuller,AI-Powered Security,36 months,FedRAMP,99.95%,60,21665,2644,24309,0.1478450430131556,0.8823965347663638,0.956563928561169
Fowler-Kennedy,Multi-Cloud Management,36 months,FedRAMP,99.9%,60,21783,4314,26097,0.10391722596425153,0.2000162612658265,0.9732801516334081
"Jackson, Jacobson and Alvarez",Cloud Optimization,36 months,HIPAA,99.9%,30,24470,2094,26564,0.010060147731043339,0.6503071573072561,0.12009070657155119
"Davis, Smith and Bell",Cloud Optimization,12 months,FedRAMP,99.9%,45,26638,4734,31372,0.12823884847666067,0.25267962773934904,0.32719160582891293
Galvan LLC,Multi-Cloud Management,36 months,FedRAMP,99.95%,60,32197,3859,36056,0.11853236423279162,0.4772776325332353,0.7832776812823695
Lee-Moore,Multi-Cloud Management,12 months,FedRAMP,99.99%,30,21735,1538,23273,0.022216638733353448,0.8115470063347329,0.42059057415689416
"Collins, Lutz and Simon",Multi-Cloud Management,36 months,SOC2,99.9%,30,28098,3912,32010,0.08519047903060954,0.16532443398054186,0.9353959541837006
Mckenzie-Ramos,AI-Powered Security,24 months,FedRAMP,99.99%,45,22960,1288,24248,0.13513018416023687,0.31294561734835846,0.5741619996095829
Williamson-Palmer,Multi-Cloud Management,24 months,ISO 27001,99.9%,90,33440,4404,37844,0.0677004049108933,0.9585162750026057,0.2608084271927763
Fletcher Group,AI-Powered Security,36 months,HIPAA,99.9%,30,29337,3258,32595,0.057276719838512354,0.5854845091709787,0.7370876905043523
"Willis, Mclaughlin and Reid",Cloud Optimization,36 months,ISO 27001,99.95%,90,17364,2756,20120,0.07920876328381869,0.4112273626316605,0.26879709616697756
Lopez Inc,Multi-Cloud Management,36 months,HIPAA,99.95%,30,28594,2586,31180,0.14688572524799767,0.654927734772136,0.8801066672064047
Allen and Sons,AI-Powered Security,36 months,FedRAMP,99.95%,30,28223,1822,30045,0.12797277149535108,0.7150019688976883,0.6905385581155655
Garcia LLC,Cloud Optimization,12 months,SOC2,99.9%,30,18032,2483,20515,0.10185557481336598,0.8322257805043787,0.4587682899565929
Frye LLC,Cloud Optimization,36 months,ISO 27001,99.95%,60,22959,2635,25594,0.02831377169011559,0.06301677887537083,0.42436378868134694
Anderson-Gomez,Cloud Optimization,36 months,FedRAMP,99.99%,60,21059,2267,23326,0.1469025036485839,0.30390087697246826,0.2652274953786212
Williams-Arnold,AI-Powered Security,36 months,SOC2,99.9%,60,21368,866,22234,0.1497460395572982,0.694965268818639,0.30839459196514607
Weaver Group,AI-Powered Security,36 months,ISO 27001,99.95%,90,18019,1175,19194,0.03394962596056118,0.468579804375139,0.424867927068011
Villarreal Ltd,Multi-Cloud Management,12 months,HIPAA,99.99%,30,25242,1942,27184,0.04439054515073118,0.24480896141213337,0.21766587606593824
Miller-Doyle,Multi-Cloud Management,36 months,FedRAMP,99.99%,30,33149,1285,34434,0.10166407415440067,0.5460460733581158,0.40093873599635943
Michael-Moore,Multi-Cloud Management,36 months,ISO 27001,99.99%,60,25350,1033,26383,0.057537187881488684,0.0157165830192878,0.4578352625580686
Moore Inc,Multi-Cloud Management,24 months,HIPAA,99.95%,60,39481,4012,43493,0.08726709163885818,0.3234273553222152,0.5162310094169141
Hernandez-Santiago,AI-Powered Security,24 months,ISO 27001,99.95%,90,19299,3980,23279,0.09833909268672587,0.5420965091983188,0.7654985004052995
Campbell LLC,Multi-Cloud Management,36 months,ISO 27001,99.99%,90,29327,2872,32199,0.09823579531767465,0.3757593478039629,0.982482651061107
"Mclean, Curtis and Jones",Multi-Cloud Management,36 months,SOC2,99.95%,30,38866,1803,40669,0.05611211209323049,0.2704341199821879,0.29699489113941646
Hayden-Fischer,Multi-Cloud Management,36 months,HIPAA,99.95%,60,30934,4521,35455,0.051256453069534226,0.4645188648117188,0.8962270573081084
"Chan, Vega and Price",Multi-Cloud Management,12 months,ISO 27001,99.99%,60,22964,1186,24150,0.035362977000717506,0.33086689704572814,0.9546497959887352
Jordan-Sims,Cloud Optimization,24 months,HIPAA,99.95%,30,27003,4680,31683,0.02900679148185828,0.53707954079759,0.8494042549672068
Dean Group,Cloud Optimization,36 months,HIPAA,99.9%,45,22157,4945,27102,0.06227167558024316,0.7992900059042146,0.3063810369362896
Le Ltd,Cloud Optimization,36 months,FedRAMP,99.99%,90,16979,2236,19215,0.07880381527104056,0.11468931781075864,0.9917142287874369
Ruiz LLC,AI-Powered Security,24 months,ISO 27001,99.99%,30,21048,3952,25000,0.13219873341974275,0.5860163774782966,0.7786013587005565
Evans PLC,Cloud Optimization,36 months,SOC2,99.9%,60,28250,1921,30171,0.11686562810079698,0.7247893011954354,0.05952619687182248
"Anderson, Reyes and Marks",Multi-Cloud Management,24 months,ISO 27001,99.95%,30,21466,2276,23742,0.07419539106233841,0.3109120288621783,0.5037327453082342
Martin-Henry,Cloud Optimization,12 months,HIPAA,99.9%,30,16178,3051,19229,0.05817676495287703,0.10107649237174265,0.8019203922559827
"Long, Stevens and Reed",Cloud Optimization,36 months,FedRAMP,99.95%,60,21386,1619,23005,0.09518252112924404,0.6843854245920734,0.5337699424320241
"Johnson, Howard and Powell",Cloud Optimization,36 months,SOC2,99.99%,45,27446,4080,31526,0.013456192715944658,0.625556439722489,0.49521519267154623
"Cox, Arnold and Blackburn",Multi-Cloud Management,24 months,FedRAMP,99.99%,90,26647,2589,29236,0.05784308960791378,0.5303327560696343,0.5988340146505841
"Taylor, Williams and Phillips",AI-Powered Security,24 months,FedRAMP,99.99%,60,31442,2129,33571,0.03916001998429938,0.27870734562070865,0.909360326724968
Frazier LLC,Cloud Optimization,24 months,SOC2,99.9%,60,24623,3561,28184,0.12894658658480943,0.9406365508062431,0.20170455738644177
Graham-Mcdonald,AI-Powered Security,24 months,HIPAA,99.9%,45,29332,1753,31085,0.043035532336815334,0.3220322059754871,0.5627955352082512
Clarke PLC,Multi-Cloud Management,12 months,ISO 27001,99.95%,60,39164,3787,42951,0.061784621754316676,0.7464192328441049,0.4040299503284599
"Anderson, Glass and Myers",AI-Powered Security,12 months,ISO 27001,99.9%,30,23015,965,23980,0.03670527677244878,0.855308368184012,0.5829529493645202
Moody-Lyons,Cloud Optimization,36 months,FedRAMP,99.9%,30,29643,4434,34077,0.1274807142841582,0.8449400420187747,0.9242167622435459
Garcia-Middleton,Multi-Cloud Management,24 months,HIPAA,99.95%,60,32454,2939,35393,0.06526363900492864,0.5353809553820612,0.9317829932762532
Jones LLC,AI-Powered Security,12 months,HIPAA,99.9%,30,23150,2197,25347,0.014141396684840407,0.5828693611920428,0.05166217582898969
Wheeler-Knox,AI-Powered Security,24 months,FedRAMP,99.99%,45,26951,2657,29608,0.13247485169634263,0.1670401636200184,0.2227849642099602
Miller LLC,Multi-Cloud Management,36 months,HIPAA,99.99%,30,20238,4036,24274,0.13820963820002943,0.639616732432062,0.1729224976272612
Brown-Doyle,AI-Powered Security,36 months,FedRAMP,99.99%,45,25899,748,26647,0.10434588870647055,0.11840158414150281,0.2506559800415695
Brown Inc,Cloud Optimization,24 months,FedRAMP,99.99%,60,22928,2622,25550,0.11280890526755523,0.04570482463858749,0.20201783732239242
"Berry, Greer and James",Multi-Cloud Management,24 months,HIPAA,99.95%,60,30983,3278,34261,0.06854705394420073,0.32827229355815124,0.1582392626742135
Blevins Ltd,AI-Powered Security,36 months,ISO 27001,99.99%,60,33093,1604,34697,0.11677396491800685,0.05637819129055244,0.5250638701906956
Johnson-Johnson,AI-Powered Security,12 months,SOC2,99.9%,30,30648,1964,32612,0.07610482080972446,0.7343734786767738,0.12084045133395915
Rodriguez-Thornton,Cloud Optimization,24 months,ISO 27001,99.99%,90,23546,4042,27588,0.09427431451335931,0.17265653583239893,0.2586402366373216
May PLC,Multi-Cloud Management,24 months,HIPAA,99.9%,60,38666,2446,41112,0.09996399212233695,0.5827214759837788,0.4879479092570649
Gray-Ross,AI-Powered Security,12 months,SOC2,99.95%,45,23469,1723,25192,0.014215633738802934,0.32158826422404896,0.01943515518230199
"Solis, Moran and Blake",Multi-Cloud Management,36 months,SOC2,99.99%,30,24787,2872,27659,0.09849854349342678,0.8370077958031172,0.37331540636594096
King Group,AI-Powered Security,12 months,FedRAMP,99.95%,90,31084,4760,35844,0.06298043863054602,0.6132833468418987,0.7616749053941836
Rosales Group,Multi-Cloud Management,12 months,HIPAA,99.9%,60,30977,2618,33595,0.0879884100831734,0.6130392564723857,0.8205614117990978
"Perez, Contreras and Love",AI-Powered Security,36 months,SOC2,99.95%,45,27885,1224,29109,0.021759809196063535,0.12068730516197279,0.6277986477030377
Davis Group,Multi-Cloud Management,12 months,SOC2,99.9%,60,39984,550,40534,0.10425590647461058,0.4301182736076906,0.6910736066045696
Shaw-Singleton,AI-Powered Security,24 months,SOC2,99.9%,45,23748,1976,25724,0.07368581639265054,0.1944663446576944,0.7499904321417035
"Marsh, Espinoza and Caldwell",Cloud Optimization,36 months,HIPAA,99.99%,90,23066,4397,27463,0.08380851123188286,0.05804633701850381,0.6962634753005331
"Evans, Eaton and Barrera",Cloud Optimization,24 months,FedRAMP,99.95%,60,26514,4697,31211,0.016317991332684124,0.47291404453413854,0.7503531224083427
Stanley Inc,Cloud Optimization,24 months,HIPAA,99.99%,90,24168,1816,25984,0.14937684025744094,0.17860790932365278,0.9824237671601125
Aguirre-Huynh,Cloud Optimization,24 months,HIPAA,99.95%,45,17271,1546,18817,0.03202460908664938,0.29143908330212775,0.8545465017352898
"Martinez, Martinez and Young",Multi-Cloud Management,24 months,ISO 27001,99.95%,45,35923,1458,37381,0.015060171506340168,0.946771481436021,0.07804952839989199
Lozano-Ryan,Cloud Optimization,36 months,FedRAMP,99.99%,90,24026,705,24731,0.06008930611579085,0.19234315647502143,0.27072275819598335
Davidson-Robinson,AI-Powered Security,12 months,HIPAA,99.99%,30,24030,678,24708,0.06745909624856729,0.27849200335738666,0.9431631278533492
Sanders-Webb,Cloud Optimization,36 months,ISO 27001,99.95%,30,17298,4578,21876,0.10056043365245461,0.1266584659182617,0.3464513073430604
Ortiz-Carrillo,AI-Powered Security,36 months,ISO 27001,99.99%,60,19501,1358,20859,0.09805239984857031,0.8510369385350225,0.9316080954659239
"Mccall, Stokes and Salazar",Cloud Optimization,12 months,ISO 27001,99.99%,60,25791,2891,28682,0.11684827588494129,0.3401089365028688,0.17870612093260885
Hill Ltd,Multi-Cloud Management,36 months,HIPAA,99.99%,45,34362,4668,39030,0.08352355663237063,0.17129055466767318,0.9655176323529227
Hunter Inc,Multi-Cloud Management,36 months,SOC2,99.9%,90,31297,997,32294,0.04441419253700567,0.5015786499064562,0.8666082289291589
Jacobs-Wright,Multi-Cloud Management,12 months,ISO 27001,99.9%,45,21150,3889,25039,0.11754341136651446,0.6599242952590599,0.5176480890176051
"Bell, Barrett and White",Multi-Cloud Management,24 months,FedRAMP,99.99%,45,26387,3124,29511,0.13109970174196248,0.8872910017773294,0.010965916056447256
"Chan, Harmon and Mills",Cloud Optimization,36 months,HIPAA,99.95%,60,21345,2667,24012,0.1362916106699408,0.2834677219110062,0.8994268221738468
"Reid, Thompson and Brown",AI-Powered Security,12 months,ISO 27001,99.95%,90,27583,3196,30779,0.14942202464000076,0.11654460999863259,0.8495437595541221
"Mahoney, Cowan and Wolf",Multi-Cloud Management,36 months,FedRAMP,99.99%,60,39050,1049,40099,0.141294073134431,0.6812556301868748,0.6456041128446274
Cook Inc,Cloud Optimization,24 months,SOC2,99.95%,45,22190,543,22733,0.05375514484985975,0.4405366481233782,0.5194527665175563
Price-Williams,Multi-Cloud Management,12 months,SOC2,99.95%,90,38075,2725,40800,0.011080562686120144,0.2859062903949786,0.3667086478922439
Holland-Clarke,Cloud Optimization,24 months,FedRAMP,99.95%,90,16404,985,17389,0.042393840892723966,0.6734208002468706,0.018348661673632582
Christian-Steele,AI-Powered Security,36 months,FedRAMP,99.9%,60,24452,2159,26611,0.08625923382245523,0.18928286496824598,0.6033449653117534
Barnes PLC,AI-Powered Security,24 months,FedRAMP,99.9%,90,25019,4846,29865,0.018084674373300053,0.1199401838575358,0.7258936605836355
Patel-Smith,Multi-Cloud Management,24 months,SOC2,99.99%,90,35028,4999,40027,0.009115390259436128,0.23714807323650222,0.4261001539808602
Burton-Simmons,Multi-Cloud Management,24 months,SOC2,99.99%,60,38608,3420,42028,0.13893211580978532,0.8150077769837577,0.3231897848317934
Mendez-Ford,Cloud Optimization,24 months,ISO 27001,99.9%,30,17808,3831,21639,0.025261192351504497,0.7278558680501468,0.1837389258424279
Ortiz LLC,Multi-Cloud Management,24 months,HIPAA,99.95%,30,39726,1717,41443,0.0009192970970521185,0.46413518719873204,0.024656055706892888
"Baird, Maxwell and Stanton",AI-Powered Security,24 months,HIPAA,99.95%,45,19037,4628,23665,0.05752635367391085,0.9402341928728895,0.6929091515680809
Thompson and Sons,Cloud Optimization,24 months,FedRAMP,99.9%,60,26983,3687,30670,0.12179819535688767,0.19392522431977388,0.23663674063352658
Lynch-Price,AI-Powered Security,36 months,HIPAA,99.9%,45,24831,891,25722,0.11027759153269855,0.21583676813024888,0.8466440643326782
"Arellano, Romero and Wise",AI-Powered Security,12 months,FedRAMP,99.9%,30,24125,4870,28995,0.14403093107797096,0.27613641630319385,0.24651632440971505
"Ray, Smith and Golden",Cloud Optimization,24 months,HIPAA,99.95%,45,29442,3169,32611,0.09470845224217177,0.242098957326344,0.4325742650033506
Gilmore Group,AI-Powered Security,24 months,ISO 27001,99.99%,30,30873,3432,34305,0.05400982403260924,0.42053769006887654,0.09886633845601467
"Walker, Kennedy and White",Multi-Cloud Management,36 months,SOC2,99.99%,90,23556,4391,27947,0.1089535526571124,0.45606993010401276,0.5472460421002873
Stone-Leblanc,Multi-Cloud Management,12 months,FedRAMP,99.95%,90,38663,1400,40063,0.13676879105499032,0.17483928931557324,0.8344228458443447
Harris-Coleman,AI-Powered Security,24 months,FedRAMP,99.95%,30,31337,987,32324,0.14982672407769468,0.5792200352275578,0.042268994235934554
"Mendoza, Petersen and Mitchell",Multi-Cloud Management,36 months,HIPAA,99.9%,30,26959,2317,29276,0.043232637443380045,0.19432635387377428,0.9739355741044274
"Morales, Perez and Hernandez",AI-Powered Security,12 months,ISO 27001,99.99%,60,30458,527,30985,0.07600322292123854,0.2687469452897683,0.5295784165142504
Bush-Clark,Cloud Optimization,24 months,FedRAMP,99.95%,90,27796,4370,32166,0.14687008762765874,0.2704184104022437,0.6927073511434411
"Lopez, Edwards and Snyder",Multi-Cloud Management,24 months,HIPAA,99.95%,90,37661,898,38559,0.04453687618731473,0.82358982417063,0.35824165003698405
Arias-Pineda,AI-Powered Security,12 months,FedRAMP,99.95%,45,28971,4929,33900,0.14634350557234818,0.8625010408930913,0.8097983293737647
"Fuller, Hoover and Tyler",Cloud Optimization,24 months,SOC2,99.9%,90,25607,1035,26642,0.007813378194338654,0.3521384835602436,0.4286478407787152
"Pittman, Jackson and Butler",AI-Powered Security,12 months,HIPAA,99.9%,90,21900,4253,26153,0.12533927454115953,0.018199592151052713,0.8021780995244722
Schmidt Inc,Cloud Optimization,12 months,SOC2,99.9%,45,15348,4833,20181,0.06546725982346692,0.5817912647777101,0.5220735711373331
Reed LLC,Cloud Optimization,24 months,FedRAMP,99.95%,90,23086,4182,27268,0.13986689335275218,0.14679689737704904,0.6923361649097234
"Williams, Tate and Lamb",Multi-Cloud Management,12 months,HIPAA,99.9%,45,21254,2181,23435,0.13001803297346365,0.39424637484059444,0.9248824432676923
"Briggs, Smith and Stevenson",Cloud Optimization,24 months,FedRAMP,99.95%,90,18037,661,18698,0.06179395198436982,0.6537995093336167,0.9950527524792473
Fisher Inc,AI-Powered Security,36 months,SOC2,99.99%,90,34490,3168,37658,0.06919057997284074,0.4725306353109008,0.3408167688700171
"Jones, Nichols and Elliott",AI-Powered Security,36 months,HIPAA,99.95%,45,34895,749,35644,0.09161227424314643,0.715850015526811,0.7619697445971535
Vega and Sons,Multi-Cloud Management,36 months,FedRAMP,99.9%,30,29950,4069,34019,0.07053455804980727,0.5302194068171001,0.26402709569691396
"Mendoza, Farmer and Browning",Multi-Cloud Management,12 months,FedRAMP,99.95%,90,28039,506,28545,0.030840737855870003,0.5442513772755738,0.8042810935621733
"Hernandez, Carroll and Patel",Multi-Cloud Management,24 months,ISO 27001,99.99%,45,29819,1536,31355,0.08426331788165851,0.6603533285426847,0.8334068386803076
Weeks Group,Cloud Optimization,12 months,ISO 27001,99.9%,90,16845,4870,21715,0.08301922078874029,0.9611038749705365,0.18683449993441936
"Wade, Craig and Freeman",AI-Powered Security,24 months,SOC2,99.9%,90,33513,2784,36297,0.07562652305070645,0.8491366361611221,0.23564233199968698
"Hines, Conner and Zimmerman",Multi-Cloud Management,24 months,ISO 27001,99.99%,45,20746,1340,22086,0.0548066061802401,0.39692628062381385,0.821540382196616
Barrett-Horton,Cloud Optimization,12 months,FedRAMP,99.99%,45,29800,3190,32990,0.11139019822988849,0.3563935011982904,0.5817855261945254
"Williams, Hart and Mcmillan",AI-Powered Security,36 months,SOC2,99.99%,45,33342,3418,36760,0.08128049145797282,0.21975931406271632,0.6501005526505539
"Pham, Cross and Reed",AI-Powered Security,12 months,FedRAMP,99.95%,60,25048,1791,26839,0.011806337571384783,0.48635011510949533,0.20975851501133502
"Lopez, Sanchez and Ross",Cloud Optimization,36 months,ISO 27001,99.95%,60,26023,4680,30703,0.14728766767521212,0.7839165096792028,0.8972041309317914
Lee LLC,Multi-Cloud Management,12 months,FedRAMP,99.99%,45,28587,2437,31024,0.04057036584247632,0.046635900461590385,0.43234773833813156
"Perez, Carroll and Butler",AI-Powered Security,24 months,SOC2,99.99%,45,21239,3915,25154,0.03553917922667734,0.6936348407276481,0.9751019011002003
Washington and Sons,Multi-Cloud Management,12 months,SOC2,99.9%,60,23965,2101,26066,0.10886383131799134,0.674236561628199,0.3360783877422381
Orozco PLC,Cloud Optimization,24 months,HIPAA,99.99%,90,25631,1738,27369,0.050795954202970256,0.2934785773590144,0.21147032004974653
"Butler, Blackwell and Robinson",Multi-Cloud Management,36 months,ISO 27001,99.95%,90,37886,4967,42853,0.005160544157144176,0.4143696079065575,0.19463403275785607
"Howe, Peterson and Castillo",AI-Powered Security,12 months,FedRAMP,99.99%,45,32082,598,32680,0.0032159799934669887,0.7386526505881421,0.958786643940408
"Mills, Ortiz and Gray",AI-Powered Security,24 months,FedRAMP,99.95%,90,33903,4028,37931,0.020645849706204637,0.4186070092930494,0.8501924001952541
"Griffin, Willis and Mccarthy",Multi-Cloud Management,24 months,ISO 27001,99.9%,45,37180,2457,39637,0.11573249029317256,0.06466554385057066,0.621125299090829
"Moreno, Forbes and Ward",Cloud Optimization,24 months,SOC2,99.95%,90,28615,1291,29906,0.08472676533257273,0.7474929558814,0.4446252400615428
"Coleman, Mendez and Dyer",Multi-Cloud Management,36 months,FedRAMP,99.99%,45,26349,4397,30746,0.09785193713747073,0.9115796012522189,0.3794453868809514
Pierce-Randall,AI-Powered Security,12 months,ISO 27001,99.9%,30,19335,612,19947,0.12530435312683386,0.6157925521013854,0.6337884195450022
Meyer Ltd,AI-Powered Security,24 months,SOC2,99.99%,45,32548,752,33300,0.1018269577543292,0.747461603481754,0.11531903323787684
Vasquez and Sons,Cloud Optimization,24 months,ISO 27001,99.99%,45,24352,2794,27146,0.0655944025750335,0.7320982558011316,0.6833886331434175
Smith and Sons,AI-Powered Security,12 months,HIPAA,99.9%,45,33587,2333,35920,0.007586334911851555,0.49330021623895914,0.29599262514396696
Lawson-Reese,AI-Powered Security,24 months,FedRAMP,99.99%,30,33436,1635,35071,0.04650245337327734,0.39275018353870994,0.35655622368835627
