Supplier,Product,Contract Length,Compliance,SLA,Delivery Time (days),Base Price,Additional Fees,Total Price,Price Volatility,Delivery Risk,Contract Risk,Market Price Trends
Wolfe-Lawrence,Cloud Optimization,24 months,SOC2,99.95%,45,23313,3060,26373,0.0824862580690742,0.3309629043584483,0.1689721500378903,Stable
Stewart-Weaver,AI-Powered Security,24 months,SOC2,99.95%,90,20064,2915,22979,0.0503214915841304,0.0823529903367581,0.5502955231831296,Increasing
"Clay, Mann and Riley",AI-Powered Security,12 months,FedRAMP,99.9%,30,24243,1868,26111,0.0709641807149062,0.9686138153459296,0.7718097762699956,Decreasing
Brown Inc,AI-Powered Security,12 months,SOC2,99.95%,90,34457,4346,38803,0.0079459359069151,0.8556026270540281,0.9272648702069862,Stable
May LLC,Cloud Optimization,36 months,FedRAMP,99.95%,30,15510,922,16432,0.0314129725200421,0.970076618910001,0.6678602222396804,Increasing
Graham-Weeks,Cloud Optimization,12 months,HIPAA,99.9%,30,22837,1300,24137,0.0893711298584954,0.3145460976033576,0.5611101087684007,Increasing
Smith-Cook,Multi-Cloud Management,36 months,FedRAMP,99.9%,90,25620,1986,27606,0.1145086017662039,0.0997630040381335,0.7768313694482886,Increasing
Thompson Ltd,Cloud Optimization,12 months,ISO 27001,99.95%,60,20441,2340,22781,0.0178875251522199,0.9240344924302546,0.0776724132728385,Decreasing
"Tucker, Martin and Williamson",Cloud Optimization,36 months,FedRAMP,99.99%,60,24605,4097,28702,0.1111214047099116,0.6014711008812074,0.6716429214549452,Decreasing
Johnson and Sons,Multi-Cloud Management,36 months,ISO 27001,99.99%,60,29763,2023,31786,0.0626784279783197,0.2918231875739673,0.7651115104398498,Increasing
Long Group,AI-Powered Security,24 months,SOC2,99.95%,45,29885,598,30483,0.1331852757492481,0.4041948796088813,0.6247328518956144,Increasing
"Clarke, Rich and Stevens",AI-Powered Security,24 months,HIPAA,99.95%,60,26464,4454,30918,0.0143503065642319,0.382916407329774,0.9442236744737867,Stable
Nunez-Fox,AI-Powered Security,36 months,HIPAA,99.99%,45,31182,2446,33628,0.0757675077706011,0.9586906539117552,0.1723961432984526,Stable
Fernandez and Sons,Cloud Optimization,24 months,FedRAMP,99.95%,45,27806,2441,30247,0.1285800501486801,0.3750543868855361,0.4619995073642081,Increasing
Guerra-Williams,Cloud Optimization,36 months,HIPAA,99.9%,45,16028,4034,20062,0.1340981510635871,0.9660970640879096,0.8851049850905204,Increasing
Chavez-Fuller,AI-Powered Security,36 months,FedRAMP,99.95%,60,21665,2644,24309,0.1478450430131556,0.8823965347663638,0.956563928561169,Decreasing
Fowler-Kennedy,Multi-Cloud Management,36 months,FedRAMP,99.9%,60,21783,4314,26097,0.1039172259642515,0.2000162612658265,0.973280151633408,Increasing
"Jackson, Jacobson and Alvarez",Cloud Optimization,36 months,HIPAA,99.9%,30,24470,2094,26564,0.0100601477310433,0.6503071573072561,0.1200907065715511,Stable
"Davis, Smith and Bell",Cloud Optimization,12 months,FedRAMP,99.9%,45,26638,4734,31372,0.1282388484766606,0.252679627739349,0.3271916058289129,Decreasing
Galvan LLC,Multi-Cloud Management,36 months,FedRAMP,99.95%,60,32197,3859,36056,0.1185323642327916,0.4772776325332353,0.7832776812823695,Decreasing
Lee-Moore,Multi-Cloud Management,12 months,FedRAMP,99.99%,30,21735,1538,23273,0.0222166387333534,0.8115470063347329,0.4205905741568941,Decreasing
"Collins, Lutz and Simon",Multi-Cloud Management,36 months,SOC2,99.9%,30,28098,3912,32010,0.0851904790306095,0.1653244339805418,0.9353959541837006,Increasing
Mckenzie-Ramos,AI-Powered Security,24 months,FedRAMP,99.99%,45,22960,1288,24248,0.1351301841602368,0.3129456173483584,0.5741619996095829,Stable
Williamson-Palmer,Multi-Cloud Management,24 months,ISO 27001,99.9%,90,33440,4404,37844,0.0677004049108933,0.9585162750026056,0.2608084271927763,Stable
Fletcher Group,AI-Powered Security,36 months,HIPAA,99.9%,30,29337,3258,32595,0.0572767198385123,0.5854845091709787,0.7370876905043523,Stable
"Willis, Mclaughlin and Reid",Cloud Optimization,36 months,ISO 27001,99.95%,90,17364,2756,20120,0.0792087632838186,0.4112273626316605,0.2687970961669775,Increasing
Lopez Inc,Multi-Cloud Management,36 months,HIPAA,99.95%,30,28594,2586,31180,0.1468857252479976,0.654927734772136,0.8801066672064047,Increasing
Allen and Sons,AI-Powered Security,36 months,FedRAMP,99.95%,30,28223,1822,30045,0.127972771495351,0.7150019688976883,0.6905385581155655,Stable
Garcia LLC,Cloud Optimization,12 months,SOC2,99.9%,30,18032,2483,20515,0.1018555748133659,0.8322257805043787,0.4587682899565929,Increasing
Frye LLC,Cloud Optimization,36 months,ISO 27001,99.95%,60,22959,2635,25594,0.0283137716901155,0.0630167788753708,0.4243637886813469,Decreasing
Anderson-Gomez,Cloud Optimization,36 months,FedRAMP,99.99%,60,21059,2267,23326,0.1469025036485839,0.3039008769724682,0.2652274953786212,Increasing
Williams-Arnold,AI-Powered Security,36 months,SOC2,99.9%,60,21368,866,22234,0.1497460395572982,0.694965268818639,0.308394591965146,Increasing
Weaver Group,AI-Powered Security,36 months,ISO 27001,99.95%,90,18019,1175,19194,0.0339496259605611,0.468579804375139,0.424867927068011,Decreasing
Villarreal Ltd,Multi-Cloud Management,12 months,HIPAA,99.99%,30,25242,1942,27184,0.0443905451507311,0.2448089614121333,0.2176658760659382,Stable
Miller-Doyle,Multi-Cloud Management,36 months,FedRAMP,99.99%,30,33149,1285,34434,0.1016640741544006,0.5460460733581158,0.4009387359963594,Decreasing
Michael-Moore,Multi-Cloud Management,36 months,ISO 27001,99.99%,60,25350,1033,26383,0.0575371878814886,0.0157165830192878,0.4578352625580686,Decreasing
Moore Inc,Multi-Cloud Management,24 months,HIPAA,99.95%,60,39481,4012,43493,0.0872670916388581,0.3234273553222152,0.5162310094169141,Decreasing
Hernandez-Santiago,AI-Powered Security,24 months,ISO 27001,99.95%,90,19299,3980,23279,0.0983390926867258,0.5420965091983188,0.7654985004052995,Stable
Campbell LLC,Multi-Cloud Management,36 months,ISO 27001,99.99%,90,29327,2872,32199,0.0982357953176746,0.3757593478039629,0.982482651061107,Decreasing
"Mclean, Curtis and Jones",Multi-Cloud Management,36 months,SOC2,99.95%,30,38866,1803,40669,0.0561121120932304,0.2704341199821879,0.2969948911394164,Increasing
Hayden-Fischer,Multi-Cloud Management,36 months,HIPAA,99.95%,60,30934,4521,35455,0.0512564530695342,0.4645188648117188,0.8962270573081084,Stable
"Chan, Vega and Price",Multi-Cloud Management,12 months,ISO 27001,99.99%,60,22964,1186,24150,0.0353629770007175,0.3308668970457281,0.9546497959887352,Decreasing
Jordan-Sims,Cloud Optimization,24 months,HIPAA,99.95%,30,27003,4680,31683,0.0290067914818582,0.53707954079759,0.8494042549672068,Increasing
Dean Group,Cloud Optimization,36 months,HIPAA,99.9%,45,22157,4945,27102,0.0622716755802431,0.7992900059042146,0.3063810369362896,Stable
Le Ltd,Cloud Optimization,36 months,FedRAMP,99.99%,90,16979,2236,19215,0.0788038152710405,0.1146893178107586,0.9917142287874368,Increasing
Ruiz LLC,AI-Powered Security,24 months,ISO 27001,99.99%,30,21048,3952,25000,0.1321987334197427,0.5860163774782966,0.7786013587005565,Decreasing
Evans PLC,Cloud Optimization,36 months,SOC2,99.9%,60,28250,1921,30171,0.1168656281007969,0.7247893011954354,0.0595261968718224,Increasing
"Anderson, Reyes and Marks",Multi-Cloud Management,24 months,ISO 27001,99.95%,30,21466,2276,23742,0.0741953910623384,0.3109120288621783,0.5037327453082342,Decreasing
Martin-Henry,Cloud Optimization,12 months,HIPAA,99.9%,30,16178,3051,19229,0.058176764952877,0.1010764923717426,0.8019203922559827,Stable
"Long, Stevens and Reed",Cloud Optimization,36 months,FedRAMP,99.95%,60,21386,1619,23005,0.095182521129244,0.6843854245920734,0.5337699424320241,Stable
"Johnson, Howard and Powell",Cloud Optimization,36 months,SOC2,99.99%,45,27446,4080,31526,0.0134561927159446,0.625556439722489,0.4952151926715462,Increasing
"Cox, Arnold and Blackburn",Multi-Cloud Management,24 months,FedRAMP,99.99%,90,26647,2589,29236,0.0578430896079137,0.5303327560696343,0.5988340146505841,Stable
"Taylor, Williams and Phillips",AI-Powered Security,24 months,FedRAMP,99.99%,60,31442,2129,33571,0.0391600199842993,0.2787073456207086,0.909360326724968,Decreasing
Frazier LLC,Cloud Optimization,24 months,SOC2,99.9%,60,24623,3561,28184,0.1289465865848094,0.9406365508062432,0.2017045573864417,Stable
Graham-Mcdonald,AI-Powered Security,24 months,HIPAA,99.9%,45,29332,1753,31085,0.0430355323368153,0.3220322059754871,0.5627955352082512,Stable
Clarke PLC,Multi-Cloud Management,12 months,ISO 27001,99.95%,60,39164,3787,42951,0.0617846217543166,0.7464192328441049,0.4040299503284599,Stable
"Anderson, Glass and Myers",AI-Powered Security,12 months,ISO 27001,99.9%,30,23015,965,23980,0.0367052767724487,0.855308368184012,0.5829529493645202,Stable
Moody-Lyons,Cloud Optimization,36 months,FedRAMP,99.9%,30,29643,4434,34077,0.1274807142841582,0.8449400420187747,0.924216762243546,Stable
Garcia-Middleton,Multi-Cloud Management,24 months,HIPAA,99.95%,60,32454,2939,35393,0.0652636390049286,0.5353809553820612,0.9317829932762532,Increasing
Jones LLC,AI-Powered Security,12 months,HIPAA,99.9%,30,23150,2197,25347,0.0141413966848404,0.5828693611920428,0.0516621758289896,Increasing
Wheeler-Knox,AI-Powered Security,24 months,FedRAMP,99.99%,45,26951,2657,29608,0.1324748516963426,0.1670401636200184,0.2227849642099602,Stable
Miller LLC,Multi-Cloud Management,36 months,HIPAA,99.99%,30,20238,4036,24274,0.1382096382000294,0.639616732432062,0.1729224976272612,Stable
Brown-Doyle,AI-Powered Security,36 months,FedRAMP,99.99%,45,25899,748,26647,0.1043458887064705,0.1184015841415028,0.2506559800415695,Increasing
Brown Inc,Cloud Optimization,24 months,FedRAMP,99.99%,60,22928,2622,25550,0.1128089052675552,0.0457048246385874,0.2020178373223924,Stable
"Berry, Greer and James",Multi-Cloud Management,24 months,HIPAA,99.95%,60,30983,3278,34261,0.0685470539442007,0.3282722935581512,0.1582392626742135,Decreasing
Blevins Ltd,AI-Powered Security,36 months,ISO 27001,99.99%,60,33093,1604,34697,0.1167739649180068,0.0563781912905524,0.5250638701906956,Increasing
Johnson-Johnson,AI-Powered Security,12 months,SOC2,99.9%,30,30648,1964,32612,0.0761048208097244,0.7343734786767738,0.1208404513339591,Increasing
Rodriguez-Thornton,Cloud Optimization,24 months,ISO 27001,99.99%,90,23546,4042,27588,0.0942743145133593,0.1726565358323989,0.2586402366373216,Stable
May PLC,Multi-Cloud Management,24 months,HIPAA,99.9%,60,38666,2446,41112,0.0999639921223369,0.5827214759837788,0.4879479092570649,Increasing
Gray-Ross,AI-Powered Security,12 months,SOC2,99.95%,45,23469,1723,25192,0.0142156337388029,0.3215882642240489,0.0194351551823019,Increasing
"Solis, Moran and Blake",Multi-Cloud Management,36 months,SOC2,99.99%,30,24787,2872,27659,0.0984985434934267,0.8370077958031172,0.3733154063659409,Stable
King Group,AI-Powered Security,12 months,FedRAMP,99.95%,90,31084,4760,35844,0.062980438630546,0.6132833468418987,0.7616749053941836,Decreasing
Rosales Group,Multi-Cloud Management,12 months,HIPAA,99.9%,60,30977,2618,33595,0.0879884100831734,0.6130392564723857,0.8205614117990978,Increasing
"Perez, Contreras and Love",AI-Powered Security,36 months,SOC2,99.95%,45,27885,1224,29109,0.0217598091960635,0.1206873051619727,0.6277986477030377,Stable
Davis Group,Multi-Cloud Management,12 months,SOC2,99.9%,60,39984,550,40534,0.1042559064746105,0.4301182736076906,0.6910736066045696,Increasing
Shaw-Singleton,AI-Powered Security,24 months,SOC2,99.9%,45,23748,1976,25724,0.0736858163926505,0.1944663446576944,0.7499904321417035,Stable
"Marsh, Espinoza and Caldwell",Cloud Optimization,36 months,HIPAA,99.99%,90,23066,4397,27463,0.0838085112318828,0.0580463370185038,0.6962634753005331,Decreasing
"Evans, Eaton and Barrera",Cloud Optimization,24 months,FedRAMP,99.95%,60,26514,4697,31211,0.0163179913326841,0.4729140445341385,0.7503531224083427,Stable
Stanley Inc,Cloud Optimization,24 months,HIPAA,99.99%,90,24168,1816,25984,0.1493768402574409,0.1786079093236527,0.9824237671601124,Decreasing
Aguirre-Huynh,Cloud Optimization,24 months,HIPAA,99.95%,45,17271,1546,18817,0.0320246090866493,0.2914390833021277,0.8545465017352898,Stable
"Martinez, Martinez and Young",Multi-Cloud Management,24 months,ISO 27001,99.95%,45,35923,1458,37381,0.0150601715063401,0.946771481436021,0.0780495283998919,Decreasing
Lozano-Ryan,Cloud Optimization,36 months,FedRAMP,99.99%,90,24026,705,24731,0.0600893061157908,0.1923431564750214,0.2707227581959833,Decreasing
Davidson-Robinson,AI-Powered Security,12 months,HIPAA,99.99%,30,24030,678,24708,0.0674590962485672,0.2784920033573866,0.9431631278533492,Stable
Sanders-Webb,Cloud Optimization,36 months,ISO 27001,99.95%,30,17298,4578,21876,0.1005604336524546,0.1266584659182617,0.3464513073430604,Increasing
Ortiz-Carrillo,AI-Powered Security,36 months,ISO 27001,99.99%,60,19501,1358,20859,0.0980523998485703,0.8510369385350225,0.931608095465924,Decreasing
"Mccall, Stokes and Salazar",Cloud Optimization,12 months,ISO 27001,99.99%,60,25791,2891,28682,0.1168482758849412,0.3401089365028688,0.1787061209326088,Stable
Hill Ltd,Multi-Cloud Management,36 months,HIPAA,99.99%,45,34362,4668,39030,0.0835235566323706,0.1712905546676731,0.9655176323529228,Increasing
Hunter Inc,Multi-Cloud Management,36 months,SOC2,99.9%,90,31297,997,32294,0.0444141925370056,0.5015786499064562,0.8666082289291589,Decreasing
Jacobs-Wright,Multi-Cloud Management,12 months,ISO 27001,99.9%,45,21150,3889,25039,0.1175434113665144,0.6599242952590599,0.5176480890176051,Decreasing
"Bell, Barrett and White",Multi-Cloud Management,24 months,FedRAMP,99.99%,45,26387,3124,29511,0.1310997017419624,0.8872910017773294,0.0109659160564472,Stable
"Chan, Harmon and Mills",Cloud Optimization,36 months,HIPAA,99.95%,60,21345,2667,24012,0.1362916106699408,0.2834677219110062,0.8994268221738468,Increasing
"Reid, Thompson and Brown",AI-Powered Security,12 months,ISO 27001,99.95%,90,27583,3196,30779,0.1494220246400007,0.1165446099986325,0.8495437595541221,Stable
"Mahoney, Cowan and Wolf",Multi-Cloud Management,36 months,FedRAMP,99.99%,60,39050,1049,40099,0.141294073134431,0.6812556301868748,0.6456041128446274,Decreasing
Cook Inc,Cloud Optimization,24 months,SOC2,99.95%,45,22190,543,22733,0.0537551448498597,0.4405366481233782,0.5194527665175563,Stable
Price-Williams,Multi-Cloud Management,12 months,SOC2,99.95%,90,38075,2725,40800,0.0110805626861201,0.2859062903949786,0.3667086478922439,Stable
Holland-Clarke,Cloud Optimization,24 months,FedRAMP,99.95%,90,16404,985,17389,0.0423938408927239,0.6734208002468706,0.0183486616736325,Stable
Christian-Steele,AI-Powered Security,36 months,FedRAMP,99.9%,60,24452,2159,26611,0.0862592338224552,0.1892828649682459,0.6033449653117534,Stable
Barnes PLC,AI-Powered Security,24 months,FedRAMP,99.9%,90,25019,4846,29865,0.0180846743733,0.1199401838575358,0.7258936605836355,Increasing
Patel-Smith,Multi-Cloud Management,24 months,SOC2,99.99%,90,35028,4999,40027,0.0091153902594361,0.2371480732365022,0.4261001539808602,Decreasing
Burton-Simmons,Multi-Cloud Management,24 months,SOC2,99.99%,60,38608,3420,42028,0.1389321158097853,0.8150077769837577,0.3231897848317934,Decreasing
Mendez-Ford,Cloud Optimization,24 months,ISO 27001,99.9%,30,17808,3831,21639,0.0252611923515044,0.7278558680501468,0.1837389258424279,Increasing
Ortiz LLC,Multi-Cloud Management,24 months,HIPAA,99.95%,30,39726,1717,41443,0.0009192970970521,0.464135187198732,0.0246560557068928,Decreasing
"Baird, Maxwell and Stanton",AI-Powered Security,24 months,HIPAA,99.95%,45,19037,4628,23665,0.0575263536739108,0.9402341928728896,0.6929091515680809,Stable
Thompson and Sons,Cloud Optimization,24 months,FedRAMP,99.9%,60,26983,3687,30670,0.1217981953568876,0.1939252243197738,0.2366367406335265,Stable
Lynch-Price,AI-Powered Security,36 months,HIPAA,99.9%,45,24831,891,25722,0.1102775915326985,0.2158367681302488,0.8466440643326782,Stable
"Arellano, Romero and Wise",AI-Powered Security,12 months,FedRAMP,99.9%,30,24125,4870,28995,0.1440309310779709,0.2761364163031938,0.246516324409715,Increasing
"Ray, Smith and Golden",Cloud Optimization,24 months,HIPAA,99.95%,45,29442,3169,32611,0.0947084522421717,0.242098957326344,0.4325742650033506,Increasing
Gilmore Group,AI-Powered Security,24 months,ISO 27001,99.99%,30,30873,3432,34305,0.0540098240326092,0.4205376900688765,0.0988663384560146,Increasing
"Walker, Kennedy and White",Multi-Cloud Management,36 months,SOC2,99.99%,90,23556,4391,27947,0.1089535526571124,0.4560699301040127,0.5472460421002873,Decreasing
Stone-Leblanc,Multi-Cloud Management,12 months,FedRAMP,99.95%,90,38663,1400,40063,0.1367687910549903,0.1748392893155732,0.8344228458443447,Increasing
Harris-Coleman,AI-Powered Security,24 months,FedRAMP,99.95%,30,31337,987,32324,0.1498267240776946,0.5792200352275578,0.0422689942359345,Decreasing
"Mendoza, Petersen and Mitchell",Multi-Cloud Management,36 months,HIPAA,99.9%,30,26959,2317,29276,0.04323263744338,0.1943263538737742,0.9739355741044274,Stable
"Morales, Perez and Hernandez",AI-Powered Security,12 months,ISO 27001,99.99%,60,30458,527,30985,0.0760032229212385,0.2687469452897683,0.5295784165142504,Decreasing
Bush-Clark,Cloud Optimization,24 months,FedRAMP,99.95%,90,27796,4370,32166,0.1468700876276587,0.2704184104022437,0.6927073511434411,Increasing
"Lopez, Edwards and Snyder",Multi-Cloud Management,24 months,HIPAA,99.95%,90,37661,898,38559,0.0445368761873147,0.82358982417063,0.358241650036984,Stable
Arias-Pineda,AI-Powered Security,12 months,FedRAMP,99.95%,45,28971,4929,33900,0.1463435055723481,0.8625010408930913,0.8097983293737647,Stable
"Fuller, Hoover and Tyler",Cloud Optimization,24 months,SOC2,99.9%,90,25607,1035,26642,0.0078133781943386,0.3521384835602436,0.4286478407787152,Stable
"Pittman, Jackson and Butler",AI-Powered Security,12 months,HIPAA,99.9%,90,21900,4253,26153,0.1253392745411595,0.0181995921510527,0.8021780995244722,Decreasing
Schmidt Inc,Cloud Optimization,12 months,SOC2,99.9%,45,15348,4833,20181,0.0654672598234669,0.5817912647777101,0.5220735711373331,Stable
Reed LLC,Cloud Optimization,24 months,FedRAMP,99.95%,90,23086,4182,27268,0.1398668933527521,0.146796897377049,0.6923361649097234,Increasing
"Williams, Tate and Lamb",Multi-Cloud Management,12 months,HIPAA,99.9%,45,21254,2181,23435,0.1300180329734636,0.3942463748405944,0.9248824432676924,Stable
"Briggs, Smith and Stevenson",Cloud Optimization,24 months,FedRAMP,99.95%,90,18037,661,18698,0.0617939519843698,0.6537995093336167,0.9950527524792472,Stable
Fisher Inc,AI-Powered Security,36 months,SOC2,99.99%,90,34490,3168,37658,0.0691905799728407,0.4725306353109008,0.3408167688700171,Increasing
"Jones, Nichols and Elliott",AI-Powered Security,36 months,HIPAA,99.95%,45,34895,749,35644,0.0916122742431464,0.715850015526811,0.7619697445971535,Stable
Vega and Sons,Multi-Cloud Management,36 months,FedRAMP,99.9%,30,29950,4069,34019,0.0705345580498072,0.5302194068171001,0.2640270956969139,Increasing
"Mendoza, Farmer and Browning",Multi-Cloud Management,12 months,FedRAMP,99.95%,90,28039,506,28545,0.03084073785587,0.5442513772755738,0.8042810935621733,Stable
"Hernandez, Carroll and Patel",Multi-Cloud Management,24 months,ISO 27001,99.99%,45,29819,1536,31355,0.0842633178816585,0.6603533285426847,0.8334068386803076,Stable
Weeks Group,Cloud Optimization,12 months,ISO 27001,99.9%,90,16845,4870,21715,0.0830192207887402,0.9611038749705364,0.1868344999344193,Decreasing
"Wade, Craig and Freeman",AI-Powered Security,24 months,SOC2,99.9%,90,33513,2784,36297,0.0756265230507064,0.8491366361611221,0.2356423319996869,Decreasing
"Hines, Conner and Zimmerman",Multi-Cloud Management,24 months,ISO 27001,99.99%,45,20746,1340,22086,0.0548066061802401,0.3969262806238138,0.821540382196616,Stable
Barrett-Horton,Cloud Optimization,12 months,FedRAMP,99.99%,45,29800,3190,32990,0.1113901982298884,0.3563935011982904,0.5817855261945254,Stable
"Williams, Hart and Mcmillan",AI-Powered Security,36 months,SOC2,99.99%,45,33342,3418,36760,0.0812804914579728,0.2197593140627163,0.6501005526505539,Decreasing
"Pham, Cross and Reed",AI-Powered Security,12 months,FedRAMP,99.95%,60,25048,1791,26839,0.0118063375713847,0.4863501151094953,0.209758515011335,Increasing
"Lopez, Sanchez and Ross",Cloud Optimization,36 months,ISO 27001,99.95%,60,26023,4680,30703,0.1472876676752121,0.7839165096792028,0.8972041309317914,Stable
Lee LLC,Multi-Cloud Management,12 months,FedRAMP,99.99%,45,28587,2437,31024,0.0405703658424763,0.0466359004615903,0.4323477383381315,Increasing
"Perez, Carroll and Butler",AI-Powered Security,24 months,SOC2,99.99%,45,21239,3915,25154,0.0355391792266773,0.6936348407276481,0.9751019011002005,Stable
Washington and Sons,Multi-Cloud Management,12 months,SOC2,99.9%,60,23965,2101,26066,0.1088638313179913,0.674236561628199,0.3360783877422381,Increasing
Orozco PLC,Cloud Optimization,24 months,HIPAA,99.99%,90,25631,1738,27369,0.0507959542029702,0.2934785773590144,0.2114703200497465,Decreasing
